16,NYX Lip Lingerie # LIPLI05 - BEAUTY MARK,NYX,ลิควิดลิปสติกที่ได้รับความนิยมไปทั่วโลก! เมื่อทาจะเซ็ตตัวเป็นลิปแมตต์ที่ติดทนยาวนานตลอดวัน โดดเด่นด้วยโทนที่นู้ดอบอุ่นคลาสสิค,http://www.konvy.com/static/team/2016/1110/14787609238812_280x280.jpg,lipstick
17,NYX Matte Lipstick # MLS45 - GOAL DIGGER,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787618633849_280x280.jpg,lipstick
18,NYX Matte Lipstick # MLS13 - ANGEL,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787527201402_280x280.jpg,lipstick
19,NYX Soft Matte Lip Cream # SMLC26 - HAVANA,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787600573842_280x280.jpg,lipstick
20,NYX Matte Lipstick # MLS17 - SWEET PINK,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787528162648_280x280.jpg,lipstick
21,NYX Matte Lipstick # MLS03 - HIPPIE CHIC,NYX,ลิปสติกเนื้อแมตต์เรียบลื่น อัดแน่นทุกอณูสีที่ชุ่มฉ่ำและติดทนยาวนาน,http://www.konvy.com/static/team/2016/1110/14787524792208_280x280.jpg,lipstick
22,NYX Soft Matte Lip Cream # SMLC01 - AMSTERDAM,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787534733439_280x280.jpg,lipstick
23,NYX Lip Lingerie # LIPLI01 - HONEYMOON,NYX,ลิควิดลิปสติกที่ได้รับความนิยมไปทั่วโลก! เมื่อทาจะเซ็ตตัวเป็นลิปแมตต์ที่ติดทนยาวนานตลอดวัน โดดเด่นด้วยโทนที่นู้ดอบอุ่นคลาสสิค,http://www.konvy.com/static/team/2016/1110/14787608149603_280x280.jpg,lipstick
24,NYX Liquid Suede Cream Lipstick # LSCL21 - BROOKLYN THORN,NYX,ลิปสติกเนื้อครีมกำมะหยี่เรียบลื่น เมื่อแห้งจะกลายเป็นเนื้อแมตต์ที่กันน้ำและติดทนยาวนาน มอบสีสันที่โดดเด่นมีชีวิตชีวาทุกมุมมอง,http://www.konvy.com/static/team/2016/1110/14787614032830_280x280.jpg,lipstick
25,NYX Soft Matte Lip Cream # SMLC15 - ATHENS,NYX,ลิปแมตต์เนื้อครีมที่ได้รับความนิยมสูงสุด! เนื้อลิปนุ่มละมุนและให้ความชุ่มชื่นสู่ริมฝีปากมากกว่าลิปแมตต์อื่นๆ,http://www.konvy.com/static/team/2016/1110/14787537872762_280x280.jpg,lipstick
