170,MAC Amplified Creme Lipstick #Saint Germain,MAC,เนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
171,MAC Cremesheen Lipstick #Pink Pearl Pop,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มประกายมุก ให้ริมฝีปากดูอวบอิ่ม แวววาวอย่างเป็นธรรมชาติ พร้อมเม็ดสีสวยสดใส ให้ริมฝีปากดูเปล่งประกายสวยติดทนนาน,lipstick
172,MAC  Amplified Creme Lipstick #Morange,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
173,MAC Matte Lipstick #Russian Red,MAC,ลิปสติกเนื้อแมทเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
174,MAC Amplified Creme Lipstick #Blankety,MAC,เนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
175,MAC Satin Lipstick #Sushi Kiss,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อซาตินเนียนนุ่ม ให้ริมฝีปากดูสวยอวบอิ่ม เรียบเนียนอย่างเป็นธรรมชาติ พร้อมเม็ดสีสวยสดใส ให้ริมฝีปากดูเปล่งประกายสวยติดทนนาน,lipstick
176,MAC Matte Lipstick 3g #Diva,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มแต่ให้ลุคแมตต์ ไม่เป็นคราบ ไม่ตกร่อง เม็ดสีสวยคมชัด สีสันสวยงามติดทนนานตลอดวัน,lipstick
177,MAC Lustre Lipstick #Flamingo,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
178,MAC Cremesheen Lipstick #Coral Bliss,MAC,ลิปสติกเนื้อครีมเนียนนุ่ม โดดเด่นในเรื่องของสีสันและเท็กซ์เจอร์ที่หลากหลาย สะท้อนความงดงามที่แท้จริง คุณภาพดีเยี่ยมครองใจสาวๆ มาแล้วทั่วโลก,lipstick
179,MAC Viva Glam Miley Cyrus Lipstick 3g,MAC,เปลี่ยนลุคส์ให้สวยแซ่บแบบ Miley Cyrus ด้วยลิปสติกโทนสี Hot Pink เนื้อครีมเนียนนุ่ม ทาง่าย ไม่ทำให้ริมฝีปากแห้งหรือเป็นขุย สีติดทนยาวนาน,lipstick
180,MAC Matte Lipstick 3g #Lady Danger,MAC,ลิปสติกคุณภาพดีจาก M.A.C เนื้อครีมเนียนนุ่มแต่ให้ลุคแมตต์ ไม่เป็นคราบ ไม่ตกร่อง เม็ดสีสวยคมชัด สีสันสวยงามติดทนนานตลอดวัน,lipstick
