,1,70,2
,2,77,2
,3,73,2
,5,77,2
,6,75,2
,7,76,2
,8,100,2
,9,73,2
,10,74,2
,11,72,2
,12,78,2
,19,85,2
,22,74,2
,25,74,2
,27,74,2
,30,74,2
,31,78,2
,33,75,2
,36,72,2
,40,74,2
,43,72,2
,80,76,2
,82,83,2
,83,74,2
,84,81,2
,86,81,2
,87,74,2
,89,74,2
,91,74,2
,97,78,2
,107,80,2
,123,73,2
,143,74,2
,12,73,3
,26,91,3
,30,75,3
,36,72,3
,87,72,3
,1,72,9
,2,77,9
,3,76,9
,5,77,9
,6,79,9
,7,76,9
,8,75,9
,9,73,9
,10,77,9
,11,72,9
,12,79,9
,19,77,9
,22,74,9
,25,77,9
,26,71,9
,27,77,9
,30,77,9
,31,79,9
,33,79,9
,36,74,9
,40,77,9
,43,72,9
,80,80,9
,82,79,9
,83,74,9
,84,79,9
,86,74,9
,87,77,9
,89,74,9
,91,77,9
,97,79,9
,107,75,9
,123,76,9
,143,77,9
,43,81,12
,26,70,17
,2,79,18
,1,76,23
,7,75,23
,9,88,23
,10,74,23
,19,70,23
,22,76,23
,25,76,23
,31,70,23
,43,74,23
,123,75,23
,143,72,23
,13,85,27
,1,72,46
,2,77,46
,3,76,46
,5,77,46
,6,79,46
,7,76,46
,8,75,46
,9,73,46
,10,77,46
,11,72,46
,12,79,46
,19,77,46
,22,74,46
,25,77,46
,26,71,46
,27,77,46
,30,77,46
,31,79,46
,33,79,46
,36,74,46
,40,77,46
,43,72,46
,80,80,46
,82,79,46
,83,74,46
,84,79,46
,86,74,46
,87,77,46
,89,74,46
,91,77,46
,97,79,46
,107,75,46
,123,76,46
,143,77,46
,12,72,47
,26,71,47
,27,71,47
,30,73,47
,33,72,47
,36,88,47
,83,71,47
,87,73,47
,1,72,86
,2,80,86
,3,76,86
,5,80,86
,6,78,86
,7,79,86
,8,78,86
,9,76,86
,10,80,86
,11,75,86
,12,100,86
,19,77,86
,22,77,86
,25,77,86
,26,79,86
,27,77,86
,30,85,86
,31,78,86
,33,78,86
,36,79,86
,40,80,86
,43,75,86
,80,82,86
,82,78,86
,83,90,86
,84,81,86
,86,77,86
,87,80,86
,89,77,86
,91,77,86
,97,81,86
,107,75,86
,123,76,86
,143,77,86
,1,78,88
,2,78,88
,3,74,88
,5,75,88
,6,76,88
